# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX22720573_cds.txt" "SRX22720573.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX22720573.bam
ZMO1_ZMO0313	CP023715.1	315873	316355	+	483	1501
ZMO1_ZMO0314	CP023715.1	316394	317812	-	1419	4162
ZMO1_ZMO0315	CP023715.1	317877	318263	-	387	2218
ZMO1_ZMO0318	CP023715.1	318604	319359	+	756	9222
ZMO1_ZMO0319	CP023715.1	319432	319680	-	249	519
ZMO1_ZMO0321	CP023715.1	320294	320791	+	498	857
ZMO1_ZMO0322	CP023715.1	321130	322074	+	945	3838
ZMO1_ZMO0323	CP023715.1	322193	325018	+	2826	37905
ZMO1_ZMO0324	CP023715.1	325022	325546	+	525	4885
ZMO1_ZMO0325	CP023715.1	325631	326143	+	513	9601
ZMO1_ZMO0326	CP023715.1	326160	326603	-	444	2362
ZMO1_ZMO0327	CP023715.1	326798	328834	+	2037	10451
ZMO1_ZMO0328	CP023715.1	328990	329553	+	564	14547
ZMO1_ZMO0329	CP023715.1	329553	330368	+	816	13048
ZMO1_ZMO2048	CP023715.1	330354	330536	-	183	14
ZMO1_ZMO0331	CP023715.1	330814	331410	+	597	16481
ZMO1_ZMO0332	CP023715.1	331475	332191	-	717	8721
ZMO1_ZMO0335	CP023715.1	332580	333365	+	786	4315
ZMO1_ZMO0336	CP023715.1	333462	334136	+	675	1404
ZMO1_ZMO0339	CP023715.1	334277	335656	+	1380	27004
ZMO1_ZMO0341	CP023715.1	335843	336622	+	780	2335
ZMO1_ZMO0342	CP023715.1	336684	337886	-	1203	31785
ZMO1_ZMO0343	CP023715.1	338009	338680	-	672	2269
ZMO1_ZMO0344	CP023715.1	338983	340425	+	1443	16615
ZMO1_ZMO0345	CP023715.1	340714	341433	+	720	2050
ZMO1_ZMO0346	CP023715.1	341634	342983	+	1350	7607
ZMO1_ZMO0347	CP023715.1	343378	343863	+	486	13727
ZMO1_ZMO0348	CP023715.1	343860	345242	+	1383	18695
ZMO1_ZMO0349	CP023715.1	345263	345829	+	567	3905
ZMO1_ZMO0350	CP023715.1	345969	346595	+	627	4550
ZMO1_ZMO0351	CP023715.1	346818	352019	+	5202	5957
ZMO1_ZMO0352	CP023715.1	352178	353752	+	1575	5628
ZMO1_ZMO0353	CP023715.1	353797	355140	+	1344	5302
ZMO1_ZMO0354	CP023715.1	355278	357119	-	1842	3780
ZMO1_ZMO0355	CP023715.1	357377	358423	+	1047	23764
ZMO1_ZMO0356	CP023715.1	358454	359473	+	1020	6365
ZMO1_ZMO0357	CP023715.1	359487	360038	+	552	1264
ZMO1_ZMO0359	CP023715.1	360166	362097	+	1932	6721
ZMO1_ZMO0360	CP023715.1	362109	363215	+	1107	1322
ZMO1_ZMO0361	CP023715.1	363840	364814	+	975	1480
ZMO1_ZMO0362	CP023715.1	364912	367134	+	2223	13845
ZMO1_ZMO0363	CP023715.1	367280	368467	+	1188	4769
ZMO1_ZMO0364	CP023715.1	368514	370709	+	2196	3522
ZMO1_ZMO0366	CP023715.1	371082	372503	+	1422	344732
ZMO1_ZMO0367	CP023715.1	372649	374106	+	1458	278632
ZMO1_ZMO0368	CP023715.1	374099	375922	+	1824	389209
