Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity	reads_aligned_percentage	not_aligned_percentage	not_aligned	reads_processed	reads_aligned	per_base_sequence_content	per_sequence_quality_scores	overrepresented_sequences	per_sequence_gc_content	Sequences flagged as poor quality	avg_sequence_length	sequence_length_distribution	sequence_duplication_levels	Total Sequences	basic_statistics	Filename	per_base_sequence_quality	adapter_content	%GC	median_sequence_length	per_tile_sequence_quality	File type	Total Bases	per_base_n_content	total_deduplicated_percentage	Encoding	Sequence length	percent_trimmed	r_written	quality_trimmed	r_processed	cutadapt_version	r_with_adapters	bp_written	bp_processed	se_antisense	failed	pe_antisense	se_sense	pe_sense
Kiley_B_WT_-O2_NoFe_DIP_A	0	0	318866	0	0	0	5483744	85.21489795024051	0	0	345143	0	867	6435194	0	281954	4620	95.62	4.38	140977.0	3217597.0	3076620.0	fail	pass	warn	warn	0.0	144.08622894663316	warn	fail	3217597.0	pass	Kiley_B_WT_-O2_NoFe_DIP_A_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	465 Mbp	pass	11.917501866222189	Sanger / Illumina 1.9	20-150	0.4213785745871087	3221548	729450	3221548	4.4	889837	465043046	467010930		0.3803	0.2899		0.3298
Kiley_B_WT_-O2_NoFe_DIP_B	0	0	437243	0	0	0	7269165	84.39497064296619	0	0	601338	0	1310	8613268	0	298856	5356	96.53	3.47	149428.0	4306634.0	4157206.0	fail	pass	warn	warn	0.0	143.24726155043592	warn	fail	4306634.0	pass	Kiley_B_WT_-O2_NoFe_DIP_B_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	618.6 Mbp	pass	9.117266510110168	Sanger / Illumina 1.9	20-150	0.3223967446298842	4308031	383722	4308031	4.4	1150844	618735801	620737037		0.4303	0.5492		0.0205
Kiley_B_WT_-O2_NoFe_DIP_C	0	0	580519	0	0	0	9877302	84.22481685051963	0	0	813711	0	1914	11727306	0	446358	7502	96.19	3.81	223179.0	5863653.0	5640474.0	fail	pass	warn	warn	0.0	143.4563916043463	warn	fail	5863653.0	pass	Kiley_B_WT_-O2_NoFe_DIP_C_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	843.6 Mbp	pass	7.333843051258605	Sanger / Illumina 1.9	20-150	0.3191734053258725	5867384	257194	5867384	4.4	1722565	843995303	846697737		0.3945	0.5891		0.0164
Kiley_B_WT_-O2_Peroxide_A	0	0	366598	0	0	0	7315540	87.12197629266251	0	0	473886	0	1112	8396894	0	234818	4940	97.2	2.8	117409.0	4198447.0	4081038.0	fail	pass	warn	pass	0.0	142.78237929405802	warn	fail	4198447.0	pass	Kiley_B_WT_-O2_Peroxide_A_val_1.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	601.2 Mbp	pass	7.05578803739833	Sanger / Illumina 1.9	21-150	0.3608166051926069	4201360	607622	4201360	4.4	1121922	601353618	603531259		0.3126	0.6711		0.0162
Kiley_B_WT_-O2_Peroxide_C	0	0	366438	0	0	0	6523426	85.418564223809	0	0	467521	0	1090	7637012	0	274868	3669	96.4	3.6	137434.0	3818506.0	3681072.0	fail	pass	warn	warn	0.0	142.6287160475851	warn	fail	3818506.0	pass	Kiley_B_WT_-O2_Peroxide_C_val_1.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	546.2 Mbp	pass	7.887998875203205	Sanger / Illumina 1.9	21-150	0.3101902780330979	3819793	176262	3819793	4.4	1107481	546451296	548151609		0.4304	0.5195		0.0501
SRX10341586	0	0	848827	0	0	0	14912307	82.04010595895328	0	0	1382458	0	5002	18176850	0	1016158	12098	94.41	5.59	508079.0	9088425.0	8580346.0	fail	pass	warn	warn	0.0	148.70563062356788	warn	fail	9088425.0	pass	SRX10341586_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	1.3 Gbp	pass	20.355745845586146	Sanger / Illumina 1.9	20-150	0.4915274219400236	9090051	682546	9090051	4.4	3035966	1356805636	1363507650		0.4171	0.5543		0.0286
SRX10341587	0	0	800295	0	0	0	13798932	77.47199423294263	0	0	2077055	0	3897	17811510	0	1121922	9409	93.7	6.3	560961.0	8905755.0	8344794.0	fail	pass	warn	warn	0.0	148.69729551284536	warn	fail	8905755.0	pass	SRX10341587_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	1.3 Gbp	pass	21.44069594877629	Sanger / Illumina 1.9	20-150	0.5194308032744497	8906657	1151766	8906657	4.4	2876126	1329058962	1335998550		0.4409	0.5101		0.049
SRX10341588	0	0	679327	0	0	0	12173019	81.69593188047729	0	0	1308620	0	11124	14900398	0	719942	8366	95.17	4.83	359971.0	7450199.0	7090228.0	fail	pass	warn	warn	0.0	148.63190177873102	warn	fail	7450199.0	pass	SRX10341588_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	1.1 Gbp	pass	20.35216779710347	Sanger / Illumina 1.9	20-150	0.5496925307681743	7450610	697149	7450610	4.4	2406497	1111448183	1117591500		0.4214	0.5445		0.0341
SRX10341589	0	0	557648	0	0	0	10895216	66.26243832910791	0	0	4358892	0	1537	16442522	0	619018	10211	96.24	3.76	309509.0	8221261.0	7911752.0	fail	pass	fail	warn	0.0	148.73499892534733	warn	fail	8221261.0	pass	SRX10341589_val_2.fq.gz	pass	pass	49.0	150	pass	Conventional base calls	1.2 Gbp	pass	18.335433752078924	Sanger / Illumina 1.9	20-150	0.4940062801177374	8222245	336798	8222245	4.4	2491332	1227243989	1233336750		0.5009	0.4439		0.0553
SRX10341590	0	0	962312	0	0	0	18779164	75.05723468844185	0	0	2952900	0	2296	25019792	0	2305804	17316	90.78	9.22	1152902.0	12509896.0	11356994.0	fail	pass	warn	warn	0.0	148.8118224963661	warn	fail	12509896.0	pass	SRX10341590_val_1.fq.gz	pass	pass	49.0	150	pass	Conventional base calls	1.8 Gbp	pass	22.558093715821297	Sanger / Illumina 1.9	20-150	0.4467036597679057	12511522	1357594	12511522	4.4	3839576	1868344886	1876728300		0.4508	0.5252		0.024
