Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>100	>1k	>500	>5k	>10k+	>10	>50
SRX14563849										25.26993968545789	14.568279825850947	10.520221499489761	2.210020709352635	1.011286119728826	18.231330734930644	9.35431983311559
SRX14570260										22.615563602866896	7.858675980669676	7.259130541407778	0.3694749380314006	0.35243929934815876	23.844764557091228	10.425530652928721
SRX14570261										21.703542172214547	6.05085372382594	6.361773633638669	0.32695238019082207	0.2778579533861434	24.78269704323153	10.506108165517887
SRX14570262										22.34444115775244	6.67823476730273	6.690590409466787	0.3422329682113751	0.39036297792622643	24.413244133386165	10.678063935217667
SRX14570263										23.0931430417209	9.165007198311184	8.27539013713336	0.7102691036496881	0.24827158943449448	22.111111118611586	10.047233459103706
SRX14570264										23.35361190055565	9.202092514719663	8.34272930195518	0.8244286543384799	0.24362479268422074	22.22710171206141	10.003441482290242
SRX14570265										21.59700228906495	8.763594068375538	7.580516622205799	0.8748205100532455	1.1651658274796484	23.243073859113213	10.030608750367467
SRX14570266										21.4094691031476	8.125979558396143	6.841008418079395	0.6836337096085127	1.6401382606942867	23.22593645116319	10.089339830520675
SRX14570267										23.76117439767247	10.197084952161527	8.463182559590132	0.9179194605352582	0.7171126452394905	21.419615183879174	10.191541465218545
SRX14570268										26.663349530887796	3.804720797893382	5.5421042747626315	0.13014298499451404	0.12656151562641366	25.30405042738163	12.01473158385329
SRX14570269										19.49981655253003	2.0134061267545666	3.0300417848580286	0.23561524309719592	0.0	30.28469298162097	11.720726630439113
SRX14570270										21.7748070592595	6.835551726784773	6.54907954610742	0.5432134852222441	0.22367379742268714	24.60044653878293	10.615777769830256
SRX14570271										20.958952929761164	5.562092543976637	5.995692314262114	0.6185053598170699	0.1264890308615116	25.370414490063986	10.7794950589763
SRX14570272										22.89188088759905	7.802756266017886	7.249907419936016	0.5735043388178229	0.2505517663760594	22.893651816777403	9.967641795376736
SRX14570273										23.11804724518813	7.849581433206361	7.4850703314609826	0.552905415786147	0.23985520771783478	22.68966374892386	10.095533357587879
SRX14570274										23.273734876868183	7.992035527841736	7.403782316992609	0.9566599302170393	0.27227725528259117	22.727559811934455	10.128619004565595
SRX14570275										22.936012327590227	7.797151677337453	7.542127120822978	0.720565242433723	0.2695759300685874	22.96947087794889	9.993037709837079
SRX14570276										22.701762274329777	7.695650727318508	7.531653168316513	0.6705320410361073	0.2807570206683534	22.848435117835386	10.049949284510014
SRX14570277										23.545138947972486	10.286401114343315	8.549719439559638	0.8250501425518808	0.5684569571633981	21.502730395371525	9.85220926844039
SRX14953908										11.983093533869837	22.653169302740373	6.864733535251166	12.207446239161891	22.35413978916894	9.779712723809267	4.341877424767955
SRX14953909										25.138472034465455	17.247597144508717	11.138784503277227	2.5402952673220165	2.413018065641141	18.443114623667668	9.597430576496498
SRX14953910										20.33784714822864	21.80991815094286	10.60489041341343	5.441712299093501	5.070572588763048	14.871019902384106	7.251752607556485
SRX14953911										25.917845891760482	16.45937587972081	11.554127336523347	2.044346913139381	2.348137483197414	17.440597167132985	9.336360774120292
SRX14953912										7.966317775900429	24.6011935163203	5.385555432366977	15.59517874526131	24.51257910118528	7.505004875123353	2.8160324743998855
SRX14953913										23.928398950963107	16.684208199173924	10.158133678304605	3.1794309367831084	4.6428522488545285	17.08737751029621	8.885888593277027
SRX14953914										6.673721855565056	26.75997854073039	5.602804986443156	16.586360430178434	23.40778457408656	6.905968164632205	2.248866192332287
SRX14953915										7.142660757451479	25.59030640732628	5.680077736274121	15.962448296683887	24.11089177402765	6.99412878096669	2.5384350340913993
SRX14953916										13.413302070105928	23.840446230708643	7.567936981078202	10.131863600099834	13.613986731423816	11.426359893542864	5.040905261414164
SRX14953917										24.989031994323113	16.7456027215492	11.118647889637348	2.347450191001682	2.642669904476105	18.088576666239007	9.298236062375906
SRX14953918										24.57394237925078	18.048027938458155	10.830503881368864	2.940101998972535	3.1486436397941047	18.097197466508437	9.328914202694694
SRX14953919										10.801513112292968	22.80060847108529	6.372022289743287	12.517600342593893	23.374903919275066	9.56324576608373	3.901860301708932
SRX14953920										7.3177584192746075	23.231546772087043	5.011898958336687	13.84629343558689	30.765089306745548	7.540362272468566	2.8890987027372215
SRX14953921										14.212485585484004	22.858385347196926	7.370124033824263	10.683411782011849	16.594483353593734	11.250066336196284	5.205067934980559
SRX14953922										6.22185255206818	22.30807841727343	4.365722298737177	14.559340437623366	34.77772027451492	6.662951745461363	2.435088800538539
SRX14953923										10.240808070906729	22.080745040314945	5.752102641850735	11.395523077391083	23.817149773284314	10.374845336661453	4.133455322296948
SRX14953924										23.70053458648371	15.115407235676209	9.387161278864848	2.9708195690053714	2.9065217892330875	19.71903618290491	9.91985903173227
SRX14953925										5.783936735296511	24.213724564676745	4.609230362784858	15.567513216854287	32.48847447912474	6.096030744433351	2.0345872610155786
SRX14953926										16.503395675896357	21.73791374576482	8.421360874536388	7.480466409343977	8.71076371337719	14.54071945146936	6.37675283967399
