Sample	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	FastQC_mqc-generalstats-fastqc-percent_gc	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
SRX10341588	7090228.0	12173019	148.63190177873102	150	95.17	48.0	0.5496925307681743	7450199.0	81.69593188047729	79.64783220289652	18.181818181818183
SRX10341589	7911752.0	10895216	148.73499892534733	150	96.24	49.0	0.49400628011773745	8221261.0	66.26243832910791	81.66456624792107	27.27272727272727
SRX10341590	11356994.0	18779164	148.8118224963661	150	90.78	49.0	0.4467036597679057	12509896.0	75.05723468844185	77.4419062841787	18.181818181818183
SRX10341591	11397038.0	19207061	148.82539056257508	150	90.48	48.0	0.4136008679693721	12596381.0	76.24039396712436	76.21692699957813	18.181818181818183
SRX10341592	7732027.0	13376484	148.6212057903859	150	95.84	49.0	0.5489655951940825	8067787.0	82.90057732064568	80.87293114282568	18.181818181818183
SRX10341593	7927398.0	13545049	148.5850104523687	150	95.41	49.0	0.5720771913914375	8308643.0	81.51180042276458	80.53856649616563	18.181818181818183
SRX10341594	9131249.0	15603110	148.5533009903549	150	95.08	49.0	0.6004960128438591	9603527.0	81.23635201941953	81.6051115270551	18.181818181818183
SRX10341595	8893822.0	15322693	148.6245799453063	150	94.65	49.0	0.5442940144477636	9396693.0	81.53236995185433	81.81096748182699	18.181818181818183
SRX10341596	8677146.0	14766885	148.66208841862934	150	95.23	49.0	0.5208953269318701	9111564.0	81.03375556600382	80.73102335174578	18.181818181818183
SRX10341597	6938926.0	11942093	148.57385700231467	150	94.89	49.0	0.5776942628342351	7312482.0	81.65553775038352	79.4818377644947	18.181818181818183
SRX11348531	7647250.0	12287495	148.737141535322	150	70.25	48.0	0.498572487689021	10885417.0	56.440166692741315	81.78652726499702	20.0
SRX11348532	9178302.0	14620863	148.5745303269932	150	71.63	48.0	0.6027013171635038	12812744.0	57.055939773712794	83.0227438497009	20.0
SRX1432806	9924969.0	4372111	49.419323736727826	50	68.23	51.0	1.8522260287415149	14545282.0	30.058619695376137	91.5968674219171	18.181818181818183
SRX14563846	22275396.0	38782569	146.87425553778294	151	96.55	50.0	3.314532554369477	23071688.0	84.04796606126088	93.49218256731587	20.0
SRX14563847	20352420.0	34766426	147.27103011820932	151	94.92	50.0	8.187950429625042	21441879.0	81.0713137593958	92.9978568956112	20.0
