Sample	percent_trimmed	r_written	quality_trimmed	r_processed	cutadapt_version	r_with_adapters	bp_written	bp_processed
SRX5252047	5.558277594366535	7183329	35418733	7183329	4.4	2785400	685190023	725516229
SRX5252048	2.134578513769767	10188598	8627075	10188598	4.4	3741079	1007082552	1029048398
SRX5252049	1.5064128016209297	12100915	8400728	12100915	4.4	4243330	1203781152	1222192415
SRX5252050	1.4030628824511286	9665305	7193467	9665305	4.4	3338243	962499164	976195805
SRX5252051	4.967474919500193	8288440	35334313	8288440	4.4	3247222	795548096	837132440
SRX5252052	1.4522546839985364	11145865	7703187	11145865	4.4	3954071	1109383864	1125732365
SRX5252053	1.2675696174345152	15401510	8183224	15401510	4.4	5422855	1535834799	1555552510
SRX5252054	1.5540410623801795	11250696	7613404	11250696	4.4	3997243	1118661412	1136320296
SRX5252055	1.395842954868089	13551555	7706230	13551555	4.4	4869858	1349602054	1368707055
SRX5252056	1.2272273275273546	15779162	8315678	15779162	4.4	5509354	1574137097	1593695362
SRX5252057	1.4986690006757468	14080833	6974906	14080833	4.4	5208688	1400850600	1422164133
SRX5252058	1.3110183426661153	15804604	7429838	15804604	4.4	5633900	1575337677	1596265004
SRX5252059	1.3621339245507393	15471581	7492071	15471581	4.4	5389244	1541344572	1562629681
SRX5252060	1.510034842321991	10959515	7647273	10959515	4.4	3899226	1090196273	1106911015
SRX5252061	1.2920570507178213	13313508	6656254	13313508	4.4	4734040	1327290478	1344664308
SRX5329169	0.6314136660210191	28716903	3499969	28716903	4.4	9609319	2853558055	2871690300
SRX5329170	0.8902543305370143	30836014	12336150	30836014	4.4	9282577	3056149505	3083601400
SRX5329171	0.7291686220424312	33390854	5230213	33390854	4.4	10980595	3314737837	3339085400
SRX5329172	0.7827684884398752	35368087	5448613	35368087	4.4	11551743	3509123676	3536808700
SRX5329173	1.3307919053307802	30923166	27381049	30923166	4.4	7888710	3051164301	3092316600
SRX5329174	4.32417892998432	36900020	66258936	36900020	4.4	12073240	3530439711	3690002000
SRX5329175	0.6727380343932392	33120928	4517730	33120928	4.4	11019476	3289811092	3312092800
SRX5329176	0.7283152374724169	33943858	4840479	33943858	4.4	11601748	3369663971	3394385800
SRX5329177	1.1934406353846545	32706613	19254832	32706613	4.4	10006056	3231627899	3270661300
SRX5329178	1.002389827115634	28689523	16463154	28689523	4.4	7365911	2840194214	2868952300
SRX5329179	0.6583170805347107	31484834	4120876	31484834	4.4	10599016	3127756396	3148483400
SRX5329180	0.9955232627975362	36930468	20371155	36930468	4.4	10159015	3656281660	3693046800
SRX5329181	0.7761874637276469	31802803	5316228	31802803	4.4	10428067	3155595363	3180280300
SRX5329182	0.7301169382438032	27609958	4834643	27609958	4.4	8876127	2740837302	2760995800
SRX5329183	1.0858783477443898	38199489	19845786	38199489	4.4	12097202	3778468902	3819948900
SRX5329184	1.0440762584375822	40683603	22297468	40683603	4.4	11086903	4025883516	4068360300
SRX5329185	0.8292449278050624	22561485	3555929	22561485	4.4	7779061	2237439503	2256148500
SRX5329186	0.6860092241242217	24039789	3472403	24039789	4.4	8174791	2387487383	2403978900
SRX5329187	1.3024675657665739	27226711	21716236	27226711	4.4	8174988	2687209192	2722671100
SRX5329188	0.9822234393382127	33164008	16969380	33164008	4.4	9314085	3283826334	3316400800
SRX5329189	2.608708949342056	31343712	19845655	31343712	4.4	10948835	3052604578	3134371200
SRX5329190	1.0475048982223323	36903184	22291026	36903184	4.4	9455623	3651662134	3690318400
SRX5329191	0.7492401146059634	37478678	5359905	37478678	4.4	12789133	3719787271	3747867800
SRX5329192	3.029113366183157	34294248	20724289	34294248	4.4	12900032	3325543635	3429424800
SRX5329193	1.0707238439993423	35305646	21994945	35305646	4.4	9706840	3492762003	3530564600
SRX5329194	0.9612736907166134	36487288	19193417	36487288	4.4	9646124	3613654530	3648728800
SRX6700162	4.356176873159794	37358855	45342321	37358855	4.4	17310679	4502161087	4707215730
SRX6700163	6.943490822603512	34246837	200243203	34246837	4.4	12799396	4015482788	4315101462
SRX6700164	7.4378340553933455	41675613	215759316	41675613	4.4	17960504	4860557108	5251127238
SRX6700165	3.6591564683164863	42557864	58574107	42557864	4.4	18884442	5166076251	5362290864
SRX6700166	5.279267710072293	36763815	61885922	36763815	4.4	17588898	4387692303	4632240690
SRX6700167	6.92083702112212	35190572	176428912	35190572	4.4	14574970	4127141323	4434012072
SRX6700168	6.23216974325355	39959781	179102520	39959781	4.4	16877977	4721146872	5034932406
SRX6700169	4.570477001045129	35372372	83701166	35372372	4.4	16379644	4253216420	4456918872
SRX6700170	6.801618964264698	41221985	195322550	41221985	4.4	18075992	4840696054	5193970110
SRX6700171	4.278876839879561	44531620	58711765	44531620	4.4	19973729	5370897020	5610984120
SRX6700172	4.093445192568234	40413883	63116606	40413883	4.4	17905714	4883704919	5092149258
SRX6700173	6.279590417773752	35211323	175346849	35211323	4.4	14261727	4158024713	4436626698
SRX6700174	6.660009277227756	41194230	228514603	41194230	4.4	15908131	4844786998	5190472980
SRX6700175	4.210824440432123	36758439	57208165	36758439	4.4	16615783	4436536314	4631563314
SRX6700176	4.788528138106773	41437418	53392983	41437418	4.4	20125844	4971100123	5221114668
SRX6700177	6.263906671393182	29425882	139545714	29425882	4.4	12022951	3475416699	3707661132
SRX6700178	6.740898732423968	29428781	161889422	29428781	4.4	11556013	3458072101	3708026406
SRX6700179	3.620302961429022	40557986	55324692	40557986	4.4	17315485	4925297668	5110306236
SRX6700180	6.740763017003356	48302062	250393802	48302062	4.4	19937754	5675812943	6086059812
SRX6700181	3.9856015420495527	33933614	45347468	33933614	4.4	15138467	4105225575	4275635364
SRX6700182	4.663894727117205	44142686	61517044	44142686	4.4	20413515	5302573617	5561978436
SRX6700183	6.5028077177653865	30265252	131467871	30265252	4.4	13273390	3565442268	3813421752
SRX6700184	6.625248878723824	40303368	209427136	40303368	4.4	16846385	4741779365	5078224368
SRX6700185	4.435032062752335	38994162	54156098	38994162	4.4	17483769	4695359560	4913264412
SRX6922015	1.365377301013977	9479933	3649769	9479933	4.4	3330856	1402574422	1421989950
SRX6922016	1.3709467097528218	5830798	2792522	5830798	4.4	2016147	862629130	874619700
SRX6922017	2.0988685532709606	10739613	22926289	10739613	4.4	3384872	1577130396	1610941950
SRX6922018	2.200035422443473	8107854	17562226	8107854	4.4	2601805	1189421751	1216178100
SRX6922019	1.0250334669437053	14503864	3280997	14503864	4.4	4999616	2153279181	2175579600
SRX6922020	1.6439194373706678	8870399	10248303	8870399	4.4	3067167	1308686518	1330559850
SRX6922021	1.0407267388518346	10970213	2717720	10970213	4.4	3768739	1628406459	1645531950
SRX6922022	1.4061611096419697	10081474	4270589	10081474	4.4	3521975	1490956835	1512221100
SRX6922023	2.3286498866404948	8890888	21049610	8890888	4.4	2836861	1302577552	1333633200
SRX6922024	2.218980271028632	9580513	19015385	9580513	4.4	3136468	1405188496	1437076950
SRX6922025	1.2123693673113918	9433735	3152386	9433735	4.4	3349174	1397904493	1415060250
SRX6922026	1.4889105593018714	11954856	12968060	11954856	4.4	3430379	1766528833	1793228400
SRX6922027	3.571513364295292	11997303	50759227	11997303	4.4	3111032	1735322658	1799595450
SRX6922028	3.5871492390768283	9979435	41753756	9979435	4.4	2595047	1443218666	1496915250
SRX6922029	1.0164998447355098	9439806	3051624	9439806	4.4	3279208	1401577558	1415970900
SRX7101023	4.707782839964801	38601924	63628141	38601924	4.4	17820560	4634863285	4863842424
SRX7101024	5.938443152474326	35458017	110722357	35458017	4.4	16880773	4202397715	4467710142
SRX7101025	10.339701837635962	36397642	381811929	36397642	4.4	13647270	4111913527	4586102892
SRX7101026	7.168519524401795	32142905	196487829	32142905	4.4	12554856	3759680557	4050006030
SRX7101027	4.798419243298321	36165886	107112676	36165886	4.4	15815209	4338242391	4556901636
SRX7101028	4.996346653232848	38587949	91323508	38587949	4.4	17157201	4619155124	4862081574
SRX7101029	7.17635083877344	41120555	233626021	41120555	4.4	16735989	4809369563	5181189930
SRX7101030	3.823583647956778	36471868	59741976	36471868	4.4	15340471	4419744288	4595455368
SRX7101031	6.865902813564233	35245167	202847121	35245167	4.4	13709073	4135983779	4440891042
SRX7101032	6.632430949876424	38476340	208679646	38476340	4.4	15375151	4526477338	4848018840
SRX7101033	4.809904338528383	38077568	64639578	38077568	4.4	17364126	4567005249	4797773568
SRX7101034	5.137644134992485	40397480	69900943	40397480	4.4	18865750	4828572156	5090082480
SRX7101035	6.901708088207468	34433857	185592443	34433857	4.4	15525438	4039223921	4338665982
SRX7101036	7.255560332177617	79431504	451341599	79431504	4.4	32180367	8729229598	9412132554
SRX7101037	7.2418603328399636	71594379	437198183	71594379	4.4	27856035	7653456043	8250980529
SRX7101038	6.917494425832683	80131547	457821280	80131547	4.4	31065902	8900141665	9561562197
SRX7101039	7.24512133761931	81185554	450866701	81185554	4.4	32999361	8878296917	9571784304
SRX7101040	7.517294076751792	83253400	470193781	83253400	4.4	35034406	9165933193	9910969950
SRX7101041	5.464782984916902	69879896	241423447	69879896	4.4	28197443	7828027826	8280541446
SRX7551986	1.2589743900883417	6757618	4458627	6757618	4.4	2217195	1000881198	1013642700
SRX7551987	0.913650000747239	6423648	833636	6423648	4.4	2218441	954743751	963547200
SRX7551988	1.0722495117050854	4264158	401421	4264158	4.4	1505424	632765338	639623700
SRX7551989	1.4000801118668031	5796894	4018576	5796894	4.4	1914095	857359926	869534100
SRX7551990	1.2106825371752332	6033161	576719	6033161	4.4	2153642	894017786	904974150
SRX7551991	1.4480914136764664	5273755	3950128	5273755	4.4	1739375	779607931	791063250
SRX8694706	0.6923633270405577	3830848	433986	3830848	4.4	1216212	570648692	574627200
SRX8694707	0.5909693865702002	4391994	238333	4391994	4.4	1526039	654905799	658799100
SRX8694708	0.6280692418634872	4378565	208387	4378565	4.4	1537155	652659687	656784750
SRX8694709	0.6533767600469835	4243471	362379	4243471	4.4	1335971	632361772	636520650
SRX8694710	0.6634943296262334	5316375	236403	5316375	4.4	1870491	792165173	797456250
SRX8694711	0.6400177711546429	4168553	386043	4168553	4.4	1301772	621281028	625282950
SRX8694712	0.664688932447091	4957862	760620	4957862	4.4	1537320	738736146	743679300
SRX8694713	0.7005194563995853	3869558	200199	3869558	4.4	1372377	576367649	580433700
SRX8694714	0.6529831810975625	4182219	202921	4182219	4.4	1494618	623236472	627332850
SRX8694715	0.6857130310569478	4433007	478194	4433007	4.4	1400440	660391394	664951050
SRX8694716	0.7489998390833205	4130502	590939	4130502	4.4	1309778	614934682	619575300
SRX8694717	0.7358346059423563	4957663	237398	4957663	4.4	1779673	738177420	743649450
SRX8694718	0.632581501189153	4258353	199514	4258353	4.4	1513293	634712317	638752950
SRX8694719	0.7186878333722776	4146953	555525	4146953	4.4	1323404	617572403	622042950
SRX8694720	0.7270826210005571	3749418	173754	3749418	4.4	1335452	558323495	562412700
SRX8694721	0.7270832854358417	4175584	527323	4175584	4.4	1315832	621783604	626337600
SRX8694722	0.722554628600415	4699736	587288	4699736	4.4	1469479	699866676	704960400
SRX8694723	0.5590283681683105	4305060	193352	4305060	4.4	1506996	642149024	645759000
SRX8694724	0.6492211657811716	4218356	198126	4218356	4.4	1506324	628645431	632753400
SRX8694725	0.7005952942710506	4386738	518759	4386738	4.4	1378499	653400708	658010700
SRX8694726	0.5231985160774345	5221117	545009	5221117	4.4	1589469	779070029	783167550
SRX8694727	0.6292816479364711	5404286	231689	5404286	4.4	1922999	805541673	810642900
SRX8694728	0.6377555373715756	5242710	218515	5242710	4.4	1869617	781391149	786406500
SRX8694729	0.6116680734987876	12544733	1000428	12544733	4.4	3884025	1870200131	1881709950
