Sample	Sense	Undetermined	Antisense
SRX5252053	14.2	42.120000000000005	43.68
SRX5252054	15.98	42.67	41.349999999999994
SRX5252055	15.310000000000002	41.54	43.15
SRX5252056	12.07	43.61	44.32
SRX5252057	13.600000000000001	42.67	43.74
SRX5252058	7.86	42.07	50.07
SRX5252059	4.8500000000000005	44.73	50.43
SRX5252060	20.200000000000003	42.11	37.69
SRX5252061	13.29	42.18	44.529999999999994
SRX5329169	3.2	51.82	44.98
SRX5329170	1.46	40.2	58.34
SRX5329171	1.8399999999999999	41.74	56.42
SRX5329172	3.6900000000000004	47.67	48.64
SRX5329173	2.96	46.910000000000004	50.12
SRX5329174	1.6099999999999999	38.690000000000005	59.699999999999996
SRX5329175	1.49	42.38	56.13
SRX5329176	2.71	51.53	45.76
SRX5329177	1.81	39.61	58.57
SRX5329178	3.5900000000000003	53.52	42.89
SRX5329179	1.67	47.5	50.83
SRX5329180	3.51	44.07	52.42
SRX5329181	7.26	44.6	48.14
SRX5329182	2.39	40.11	57.489999999999995
SRX5329183	6.4399999999999995	45.34	48.22
SRX5329184	1.44	45.660000000000004	52.900000000000006
SRX5329185	6.11	52.23	41.65
SRX5329186	5.4	55.14	39.46
SRX5329187	3.81	42.120000000000005	54.06999999999999
SRX5329188	3.36	49.85	46.79
SRX5329189	4.96	56.69	38.36
SRX5329190	5.93	51.57000000000001	42.5
SRX5329191	3.56	53.52	42.93
SRX5329192	2.87	48.63	48.49
SRX5329193	2.5700000000000003	45.910000000000004	51.519999999999996
SRX5329194	1.49	44.529999999999994	53.99
SRX6700162	1.5599999999999998	40.54	57.9
SRX6700163	1.46	34.86	63.690000000000005
SRX6700164	1.63	40.67	57.699999999999996
SRX6700165	2.12	37.169999999999995	60.699999999999996
SRX6700166	2.55	41.79	55.66
SRX6700167	2.69	41.61	55.7
SRX6700168	2.62	42.41	54.96
SRX6700169	2.69	44.37	52.94
SRX6700170	2.8000000000000003	44.0	53.2
SRX6700171	5.87	44.13	50.0
SRX6700172	6.25	43.25	50.51
SRX6700173	6.8500000000000005	44.83	48.32
SRX6700174	1.43	38.03	60.540000000000006
SRX6700175	1.76	39.32	58.91
SRX6700176	1.77	39.25	58.97
SRX6700177	1.92	40.660000000000004	57.42
SRX6700178	1.8499999999999999	41.07	57.089999999999996
SRX6700179	1.6	45.769999999999996	52.629999999999995
SRX6700180	2.01	52.6	45.39
SRX6700181	2.3	44.45	53.239999999999995
SRX6700182	1.91	50.56	47.53
SRX6700183	5.2	48.15	46.660000000000004
SRX6700184	5.8999999999999995	46.98	47.12
SRX6700185	4.9399999999999995	48.07	46.989999999999995
SRX6922015	2.07	40.23	57.699999999999996
SRX6922016	1.6099999999999999	40.52	57.879999999999995
SRX6922017	2.01	41.27	56.720000000000006
SRX6922018	2.11	41.69	56.2
SRX6922019	3.34	36.94	59.72
SRX6922020	3.73	38.45	57.830000000000005
SRX6922021	3.6799999999999997	38.43	57.89
SRX6922022	1.79	40.0	58.209999999999994
SRX6922023	1.67	40.25	58.08
SRX6922024	2.01	40.26	57.730000000000004
SRX6922025	2.1399999999999997	40.71	57.14
SRX6922026	2.08	40.62	57.3
