Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity
SRX14953916	0	0	1130815	0	0	0	23216920	35.09134148809928	0	0	2918940	0	2910506	66161392	0	35969866	14345
SRX14953917	0	0	2423333	0	0	0	46870374	70.37982790580104	0	0	4064335	0	1260656	66596318	0	11946946	30674
SRX14953918	0	0	2865279	0	0	0	56638519	79.49977026716748	0	0	4616354	0	144404	71243626	0	6941042	38028
SRX14953919	0	0	948886	0	0	0	18517968	25.434952448451487	0	0	1521822	0	2214898	72805200	0	49588752	12874
SRX14953920	0	0	519383	0	0	0	10462688	15.485086157841232	0	0	1193809	0	1784472	67566224	0	53599944	5928
SRX14953921	0	0	1224993	0	0	0	25040447	35.569300786791956	0	0	2584147	0	1768833	70399042	0	39766264	14358
SRX14953922	0	0	449974	0	0	0	9395645	12.568214837806382	0	0	1337798	0	1867285	74757196	0	61700706	5788
SRX14953923	0	0	989219	0	0	0	18946908	25.715040248637568	0	0	2656114	0	1832787	73680258	0	49242540	12690
SRX14953924	0	0	2031909	0	0	0	42116617	76.49904860742566	0	0	4834664	0	507578	55055086	0	5538202	26116
SRX14953925	0	0	317680	0	0	0	6074290	9.871539600632891	0	0	783198	0	1066115	61533360	0	53288330	3747
SRX14953926	0	0	1244443	0	0	0	23804789	43.91852951083826	0	0	3465457	0	1273223	54202154	0	24399752	14490
SRX14953927	0	0	633757	0	0	0	12534292	18.763312450166257	0	0	1812406	0	2838155	66802128	0	48976484	7034
SRX14953928	0	0	303934	0	0	0	7163477	9.732939034473045	0	0	1790287	0	2078981	73600348	0	62258212	5457
SRX14953929	0	0	366872	0	0	0	9435376	15.401036475383023	0	0	2693104	0	4034001	61264552	0	44728544	6655
SRX14953930	0	0	1377146	0	0	0	32657853	51.556964829807725	0	0	9132452	0	2511129	63343242	0	17641510	23152
SRX14953931	0	0	153182	0	0	0	3494130	7.763571212984652	0	0	899613	0	1060920	45006736	0	39396308	2583
SRX14953932	0	0	65215	0	0	0	1598456	3.331557565313665	0	0	433633	0	622484	47979240	0	45258150	1302
SRX18804540	0	0	868741	0	0	0	17805653	84.09174330124378	0	0	1470939	0	31774	21174080	0	981206	15767
SRX18804541	0	0	900004	0	0	0	18586887	83.51041795090867	0	0	1571954	0	9965	22256968	0	1171632	16526
SRX18804542	0	0	781618	0	0	0	15524893	84.8529707872027	0	0	1118221	0	27087	18296228	0	829634	14775
SRX18804543	0	0	716360	0	0	0	14833477	80.04681560122869	0	0	2119142	0	20216	18531002	0	830664	11143
SRX18804544	0	0	1022429	0	0	0	20301724	78.15389836652206	0	0	3225132	0	13631	25976598	0	1398140	15542
SRX18804545	0	0	917638	0	0	0	17781546	76.4489777106545	0	0	3280348	0	12724	23259364	0	1253644	13464
SRX18804546	0	0	641742	0	0	0	13979053	78.64856741887847	0	0	2408441	0	3022	17774072	0	731284	10530
SRX18804547	0	0	713209	0	0	0	17779729	85.20143113750532	0	0	1369685	0	17703	20867876	0	975092	12458
SRX18804548	0	0	814991	0	0	0	16903172	79.42278645359794	0	0	1723698	0	3693	21282522	0	1824222	12746
SRX18804549	0	0	727206	0	0	0	15901977	83.47493611811694	0	0	876239	0	134546	19050002	0	1398502	11532
SRX18804550	0	0	595493	0	0	0	13332122	76.27541603819549	0	0	2221080	0	68869	17478924	0	1251734	9626
SRX18804551	0	0	630877	0	0	0	13173916	80.63216904978049	0	0	1312221	0	91964	16338288	0	1120260	9050
SRX18804552	0	0	429531	0	0	0	11295101	68.87699367995967	0	0	2101816	0	135458	16398946	0	2429880	7160
SRX18804553	0	0	519914	0	0	0	13481517	79.25327012283346	0	0	1710404	0	99941	17010676	0	1190622	8278
SRX18804554	0	0	366792	0	0	0	12790568	81.22043428079103	0	0	1393033	0	70850	15747968	0	1118306	8419
SRX19817112	0	0	301654	0	0	0	7608978	34.85512338355405	0	0	387523	0	418097	21830300	0	13107014	7034
SRX19817113	0	0	285427	0	0	0	6954626	35.49599529539207	0	0	364607	0	461623	19592706	0	11520040	6383
SRX19817114	0	0	367374	0	0	0	8709814	41.81195471078135	0	0	503533	0	572239	20830918	0	10669812	8146
SRX19817115	0	0	307158	0	0	0	7375769	34.56454155560304	0	0	374108	0	323373	21339120	0	12951658	7054
SRX19817116	0	0	327489	0	0	0	7462134	35.74429083584957	0	0	392629	0	315059	20876436	0	12372238	6887
SRX19817117	0	0	420241	0	0	0	9802232	43.87005462099802	0	0	503347	0	431798	22343788	0	11176822	9348
SRX2036088	0	0	153818	0	0	0	2374575	5.068629898797738	0	0	3361253	0	38202704	46848459	0	2754120	1989
SRX2036089	0	0	160314	0	0	0	2334699	5.324381107992164	0	0	2776411	0	35938416	43849209	0	2637388	1981
SRX2036090	0	0	152834	0	0	0	2200673	5.130351864581853	0	0	2284434	0	36066858	42895167	0	2188677	1691
SRX2036091	0	0	134869	0	0	0	1803687	4.406123571440873	0	0	2587868	0	33991616	40935915	0	2416302	1573
SRX2036300	0	0	1666878	0	0	0	17053617	63.4486849933086	0	0	5486842	0	1444051	26877810	0	1210042	16380
SRX2036303	0	0	1634709	0	0	0	15363389	62.39854451759223	0	0	5220251	0	1342520	24621390	0	1044888	15633
SRX2036305	0	0	1962658	0	0	0	18751224	62.30453932870992	0	0	5799947	0	2153565	30096080	0	1410960	17726
SRX2036307	0	0	2107105	0	0	0	20436637	64.95656475029372	0	0	6607477	0	730618	31462004	0	1560610	19557
SRX2037533	0	0	1443055	0	0	0	26084629	70.74244883113832	0	0	6052835	0	919198	36872669	0	2350717	22235
SRX2037535	0	0	1492069	0	0	0	27694662	71.88267607402062	0	0	6092037	0	801995	38527589	0	2422873	23953
SRX2037536	0	0	1576394	0	0	0	26757377	55.024366194839935	0	0	5764453	0	3759916	48628233	0	10738957	31136
SRX2037537	0	0	2009384	0	0	0	32292748	55.226449620961425	0	0	7244496	0	5331787	58473337	0	11557482	37440
SRX2037538	0	0	1956657	0	0	0	33153430	67.5485771228469	0	0	10181803	0	1271375	49080871	0	2482851	34755
SRX2037540	0	0	1634044	0	0	0	26823881	66.09282559737409	0	0	8945419	0	1173519	40585163	0	1981417	26883
SRX2037541	0	0	1506666	0	0	0	23671118	56.25724111406322	0	0	9151139	0	1217704	42076571	0	6502824	27120
SRX2037542	0	0	1661556	0	0	0	27023480	56.07027726169357	0	0	10213120	0	1468312	48195731	0	7797908	31355
